article_id,score
1,0.11176355946522344
4,0.0900505153730714
7,0.100328645467007
8,0.12540478923084206
9,0.12828096201680242
13,0.16569142697017353
17,0.1241532054074346
19,0.15102204679184195
20,0.10503860782189897
23,0.111318074331897
25,0.11064860593499008
35,0.11580190414677573
37,0.15400687792212975
40,0.13664301173066018
42,0.1272241676797714
43,0.10410740054784158
47,0.10879851508793256
49,0.11664174024597687
50,0.10997937886878156
58,0.12870907784827207
63,0.10625984869146196
65,0.10206563560900139
68,0.08360762530151926
69,0.10251293436041171
74,0.17451043851536915
87,0.1596028160038896
88,0.14478573598615738
96,0.10640709578194149
97,0.2337816973307409
101,0.24712686090305755
105,0.10993883734674485
108,0.1763720101301424
112,0.11963027692415883
113,0.3077532878242263
114,0.3660240231784581
115,0.12826680433912474
116,0.15349982617781413
118,0.23466386906591202
121,0.11504365316034613
122,0.1275033987438928
125,0.09420675388674775
128,0.13775469343196592
135,0.13160418374382918
137,0.20661357192796928
138,0.26242654367418217
141,0.13454158673673355
143,0.13911408387624608
146,0.26131818552636604
147,0.08731163698499556
150,0.10096502613746539
156,0.13593943253903848
161,0.1322385009142498
167,0.10067786287142279
168,0.1126529944697259
171,0.16762935344896784
175,0.11168563666234486
176,0.08537673773410492
177,0.25613331892064234
186,0.15216013583648996
189,0.14280961471432435
190,0.10615022743490349
194,0.11954094471657525
196,0.11533018471822067
198,0.12296845848704299
201,0.1086097867352135
204,0.0938334447383752
207,0.22554397474813445
223,0.173485790517286
229,0.12330978945792243
234,0.1573880222971189
236,0.18492018425605886
238,0.13848418828201745
241,0.09976356249171589
251,0.13331112543844276
252,0.2647081382012958
257,0.12342639313076514
271,0.20970770373365896
272,0.16093243508186647
273,0.11241062063383422
275,0.11333676883417197
278,0.15339762336411902
281,0.15893734353833172
283,0.16686191068874354
296,0.11908360376515599
299,0.1358618249663142
301,0.11541849212329162
306,0.11438176335950842
309,0.12396845473159025
312,0.13769591925786068
317,0.1708199356353093
318,0.22075857168954582
323,0.1849049339141537
327,0.27171834932952704
329,0.19548306847282504
332,0.09644086019616581
335,0.13377900810035104
341,0.1977501647754678
343,0.38158048687356755
344,0.20599998866218128
345,0.12904314725538116
348,0.17378623781080177
350,0.19804602536475016
351,0.20416903980675044
354,0.21370469853173965
355,0.19984254458024142
359,0.11124919270885945
360,0.12373676545732502
363,0.12666405735875447
368,0.11228070675598995
374,0.12222475458959574
375,0.10753514363172675
378,0.164806675236455
379,0.1867422452344597
388,0.10634782898367862
389,0.17468404314074973
395,0.1356761135334649
398,0.16426445908781193
402,0.09390072727708877
404,0.14834259212639112
409,0.1127871852229395
410,0.24353023877415172
413,0.12118288522009546
415,0.09605912515128123
418,0.11654085401755647
426,0.11634003775174241
429,0.16847881546085844
431,0.10917623784849127
434,0.10453043735569058
440,0.21729339976951373
446,0.10220864769605886
447,0.12471581118449755
454,0.15904811282619088
457,0.40677635032065784
460,0.13264152359479237
462,0.16691600055951172
467,0.14483453096221202
469,0.2951329507941482
470,0.12230570553710338
477,0.1439961529265974
478,0.17686243095148643
480,0.16594332231436398
481,0.10927136772710636
483,0.08811530722721926
484,0.16696759632722202
